Season,POS,Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
2009,33,Ajit Agarkar,Kolkata Knight Riders,6,11,11,31,284,25-Mar,47.33,9.16,31,0,0
2009,34,Yuvraj Singh,Kings XI Punjab,6,14,9,20,142,29-Apr,23.66,7.1,20,0,0
2009,35,Jacques Kallis,Royal Challengers Bangalore,6,15,14,46,353,13-Mar,58.83,7.67,46,0,0
2009,36,Siddharth Trivedi,Rajasthan Royals,6,7,7,20,152,25-Apr,25.33,7.6,20,0,0
2009,37,DiMumbai Indianstri Mascarenhas,Rajasthan Royals,6,5,5,19,132,25-May,22,6.82,19.33,0,0
2009,38,Manpreet Gony,Chennai Super Kings,5,7,7,17,172,31-Mar,34.4,10.11,20.4,0,0
2009,39,Ramesh Powar,Kings XI Punjab,5,9,8,21,132,11-Feb,26.4,6.28,25.2,0,0
2009,40,Dhawal Kulkarni,Mumbai Indians,5,8,8,26,206,14-Apr,41.2,7.92,31.2,0,0
2009,41,Brett Lee,Kings XI Punjab,5,5,5,20,111,15-Mar,22.2,5.55,24,0,0
2009,42,Tirumalasetti Suman,Deccan Chargers,5,12,5,15,108,14-Feb,21.6,7.2,18,0,0
2009,43,Scott Styris,Deccan Chargers,5,2,2,8,64,Mar-32,12.8,8,9.6,0,0
2009,44,Jacob Oram,Chennai Super Kings,5,11,7,15,133,Mar-32,26.6,8.58,18.6,0,0
2009,45,Sudeep Tyagi,Chennai Super Kings,5,8,8,19,136,18-Feb,27.2,7.15,22.8,0,0
2009,46,Shoaib Ahmed,Deccan Chargers,5,7,7,17,152,20-Feb,30.4,8.94,20.4,0,0
2009,47,Dillon du Preez,Royal Challengers Bangalore,4,2,2,7,56,Mar-32,14,8,10.5,0,0
2009,48,Balachandra Akhil,Royal Challengers Bangalore,4,6,5,11,80,17-Feb,20,7.27,16.5,0,0
2009,49,Ashok Dinda,Kolkata Knight Riders,4,9,8,24,193,18-Apr,48.25,8.04,36,0,0
2009,50,ChaMumbai Indiansnda Vaas,Deccan Chargers,4,2,2,8,71,21-Mar,17.75,8.87,12,0,0
2009,51,Venugopal Rao,Deccan Chargers,4,16,6,15,122,23-Feb,30.5,8.13,22.5,0,0
2009,52,Murali Kartik,Kolkata Knight Riders,4,10,10,34,201,17-Mar,50.25,5.91,51,0,0
2009,53,Abhishek Nayar,Mumbai Indians,4,13,4,12,84,13-Mar,21,7,18,0,0
2009,54,Kevin Pietersen,Royal Challengers Bangalore,4,6,4,13,85,Feb-31,21.25,6.53,19.5,0,0
2009,55,JP DuMumbai Indiansny,Mumbai Indians,4,13,6,17,93,17-Apr,23.25,5.31,26.25,0,0
2009,56,Wilkin Mota,Kings XI Punjab,3,8,5,9,61,24-Jan,20.33,6.77,18,0,0
